agent_no,node_name,node_time
0,W6-B,0
0,W6-5,18
0,W6-5,18
0,W6-5,258
0,W6-5,258
0,W6-A,300
1,W6-B,360
1,W6-5,378
1,W6-5,378
1,W6-5,618
1,W6-5,618
1,W6-A,660
2,W6-A,1560
2,W6-2,1581
2,W6-2,1581
2,W6-2,1821
2,W6-2,1821
2,W6-B,1860
3,W6-A,1740
3,W6-1,1761
3,W6-1,1761
3,W6-1,2001
3,W6-1,2001
3,W6-B,2040
4,W6-A,1920
4,W6-2,1941
4,W6-2,1941
4,W6-2,2181
4,W6-2,2181
4,W6-B,2220
5,W6-A,2100
5,W6-1,2121
5,W6-1,2121
5,W6-1,2361
5,W6-1,2361
5,W6-B,2400
0,W7-B,780
0,W7-5,798
0,W7-5,798
0,W7-5,1038
0,W7-5,1038
0,W7-A,1080
1,W7-B,1140
1,W7-5,1158
1,W7-5,1158
1,W7-5,1398
1,W7-5,1398
1,W7-A,1440
2,W7-A,780
2,W7-1,795
2,W7-1,795
2,W7-1,1035
2,W7-1,1035
2,W7-B,1080
3,W7-A,960
3,W7-0,975
3,W7-0,975
3,W7-0,1215
3,W7-0,1215
3,W7-B,1260
4,W7-A,1140
4,W7-1,1155
4,W7-1,1155
4,W7-1,1395
4,W7-1,1395
4,W7-B,1440
5,W7-A,1320
5,W7-0,1335
5,W7-0,1335
5,W7-0,1575
5,W7-0,1575
5,W7-B,1620
0,W8-B,1560
0,W8-5,1569
0,W8-5,1569
0,W8-5,1809
0,W8-5,1809
0,W8-A,1860
1,W8-B,1920
1,W8-5,1929
1,W8-5,1929
1,W8-5,2169
1,W8-5,2169
1,W8-A,2220
2,W8-A,0
2,W8-II,9
2,W8-II,9
2,W8-II,249
2,W8-II,249
2,W8-B,300
3,W8-A,180
3,W8-1,189
3,W8-1,189
3,W8-1,429
3,W8-1,429
3,W8-B,480
4,W8-A,360
4,W8-II,369
4,W8-II,369
4,W8-II,609
4,W8-II,609
4,W8-B,660
5,W8-A,540
5,W8-1,549
5,W8-1,549
5,W8-1,789
5,W8-1,789
5,W8-B,840
